"name","street","street2","city","state_id","zip","country_id","phone","mobile","email","website","lang","salesperson","pricelist","supplier currency","account receivable","account payable","tax id","company_id","company_type"
"Công ty TNHH Vũ Lễ Giáng","số 599, xóm Tuyền Tâm","thôn Lam Diễm, xã Yên Bình, huyện Thạch Thất","Hà Nội","VN-HN","100000","84","0247397543","0967952290","hotro@vulegiang.vn","vulegiang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0135007255","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Ðoan Khải","số 108, đường Huệ Quý","phường Phú Diễn, quận Bắc Từ Liêm","Hà Nội","VN-HN","100000","84","02466705775","0924939331","hotro@huynhðoankhai.vn","huynhðoankhai.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0180560021","UIT.IS336.L12.4","company"
"Công ty TNHH Đặng Hiếu Văn Thăng","số 233, hẻm 80","đường Huy Ánh, phường Lạch Tray, quận Ngô Quyền","Hải Phòng","VN-HP","180000","84","022544591958","0990078461","hotro@danghieuvanthang.vn","danghieuvanthang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0264312022","UIT.IS336.L12.4","company"
"Công ty TNHH Hoàng Thục Phương","số 931, đường Thắm Đình","phường Vạn Phúc, quận Hà Đông","Hà Nội","VN-HN","100000","84","0243553886","0928680408","hotro@hoangthucphuong.vn","hoangthucphuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0124888021","UIT.IS336.L12.4","company"
"Công ty TNHH Giao Quý","số 398, xóm 2","thôn Trà Hoàn, xã Trung Chánh, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","02617312410","0861428523","hotro@giaoquy.vn","giaoquy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0370194172","UIT.IS336.L12.4","company"
"Công ty TNHH Trang Lý Duyên","số 399, xóm 2","thôn Uy Thăng, xã Tân Kiên, huyện Bình Chánh","Hồ Chí Minh","VN-SG","700000","84","02753540271","0947039858","hotro@tranglyduyen.vn","tranglyduyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0318266719","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Lâm Hạo","số 849, đường Hoàn Chí","phường 8, quận Gò Vấp","Hồ Chí Minh","VN-SG","700000","84","02633807997","0990525438","hotro@tranlamhao.vn","tranlamhao.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0350262899","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Diễm Danh Ðinh","số 377, xóm 8","thôn 10, xã Tiền Phong, huyện Mê Linh","Hà Nội","VN-HN","100000","84","0247100353","0900316464","hotro@trandiemdanhðinh.vn","trandiemdanhðinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0171605633","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Ẩn Uy","số 7, xóm 2","thôn 6, xã Lâm Động, huyện Thủy Nguyên","Hải Phòng","VN-HP","180000","84","02253662684","0861872080","hotro@leanuy.vn","leanuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0221952593","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Hòa Chính","số 379, hẻm Nghiệp Thịnh","đường Nguyễn Ngà Vy, phường 8, quận Tân Bình","Hồ Chí Minh","VN-SG","700000","84","02263641750","0911224594","hotro@nguyenhoachinh.vn","nguyenhoachinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0382203553","UIT.IS336.L12.4","company"
"Công ty TNHH Đặng Huệ Loan Hùng","số 677, xóm 9","thôn 1, xã Tân Dân, huyện Phú Xuyên","Hà Nội","VN-HN","100000","84","0247392926","0977394339","hotro@danghueloanhung.vn","danghueloanhung.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0135850278","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Duyên","số 434, đường Võ Hà Hữu","phường Thượng Lý, quận Hồng Bàng","Hải Phòng","VN-HP","180000","84","02257327893","0933942298","hotro@tranduyen.vn","tranduyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0215977679","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Thư Vạn","số 590, đường Trần Kiên Bảo","phường 10, quận Quận 11","Hồ Chí Minh","VN-SG","700000","84","02217376156","0980203122","hotro@vothuvan.vn","vothuvan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0392924468","UIT.IS336.L12.4","company"
"Công ty TNHH Đỗ Viễn","số 542, xóm Việt Nam","thôn 6, xã Hòa Bắc, huyện Hòa Vang","Đà Nẵng","VN-DN","550000","84","02363896000","0877400588","hotro@dovien.vn","dovien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0423077783","UIT.IS336.L12.4","company"
