"name","street","street2","city","state_id","zip","country_id","phone","mobile","email","website","lang","salesperson","pricelist","supplier currency","account receivable","account payable","tax id"
"Công ty TNHH Võ Hội Hiếu","số 440, xóm Di Vạn, thôn 7, xã Bình Chánh, huyện Bình Chánh, thành phố Hồ Chí Minh","số 440, xóm Di Vạn, thôn 7, xã Bình Chánh, huyện Bình Chánh","thành phố Hồ Chí Minh","VN-SG","700000","VN","02697339092","0896740395","hotro@vohoihieu.vn","vohoihieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0380741727"
"Công ty TNHH Trần Khánh","số 633, đường Võ Mi Khởi, phường Nại Hiên Đông, quận Sơn Trà, thành phố Đà Nẵng","số 633, đường Võ Mi Khởi, phường Nại Hiên Đông, quận Sơn Trà","thành phố Đà Nẵng","VN-DN","550000","VN","023644527789","0922090549","hotro@trankhanh.vn","trankhanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0460285500"
"Công ty TNHH Dương Huệ Huệ","số 213, hẻm 33, đường Đỗ Ngọc Kiết, phường 10, quận Quận 11, thành phố Hồ Chí Minh","số 213, hẻm 33, đường Đỗ Ngọc Kiết, phường 10, quận Quận 11","thành phố Hồ Chí Minh","VN-SG","700000","VN","0219777929483","0943360353","hotro@duonghuehue.vn","duonghuehue.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0377945360"
"Công ty TNHH Trần Thường","số 775, xóm 8, thôn Uy Lan, xã Quảng Bị, huyện Chương Mỹ, thành phố Hà Nội","số 775, xóm 8, thôn Uy Lan, xã Quảng Bị, huyện Chương Mỹ","thành phố Hà Nội","VN-HN","100000","VN","0247159459","0888626092","hotro@tranthuong.vn","tranthuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0118331092"
"Công ty TNHH Nguyễn Như Hiệp","số 715, đường Thế Ðức, phường 13, quận Quận 6, thành phố Hồ Chí Minh","số 715, đường Thế Ðức, phường 13, quận Quận 6","thành phố Hồ Chí Minh","VN-SG","700000","VN","026145078791","0917926451","hotro@nguyennhuhiep.vn","nguyennhuhiep.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0349364096"
"Công ty TNHH Nguyễn Thủy","số 642, đường Võ Quốc Phượng, phường Khâm Thiên, quận Đống Đa, thành phố Hà Nội","số 642, đường Võ Quốc Phượng, phường Khâm Thiên, quận Đống Đa","thành phố Hà Nội","VN-HN","100000","VN","0247164166","0886291425","hotro@nguyenthuy.vn","nguyenthuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0128227289"
"Công ty TNHH Nguyễn Băng Vy","số 362, xóm 1, thôn Khải Quế, xã Bát Tràng, huyện Gia Lâm, thành phố Hà Nội","số 362, xóm 1, thôn Khải Quế, xã Bát Tràng, huyện Gia Lâm","thành phố Hà Nội","VN-HN","100000","VN","02466663835","0941665736","hotro@nguyenbangvy.vn","nguyenbangvy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0171095217"
"Công ty TNHH Bùi Giao Thiếu","số 147, đường Nguyễn Quỳnh Thiếu, phường 6, quận Quận 11, thành phố Hồ Chí Minh","số 147, đường Nguyễn Quỳnh Thiếu, phường 6, quận Quận 11","thành phố Hồ Chí Minh","VN-SG","700000","VN","022545030595","0984089103","hotro@buigiaothieu.vn","buigiaothieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0398617781"
"Công ty TNHH Phan Mai Tuấn Thiện","số 1, xóm Hành Lệ, thôn 9, xã Trung Lập Hạ, huyện Củ Chi, thành phố Hồ Chí Minh","số 1, xóm Hành Lệ, thôn 9, xã Trung Lập Hạ, huyện Củ Chi","thành phố Hồ Chí Minh","VN-SG","700000","VN","02633717967","0999431479","hotro@phanmaituanthien.vn","phanmaituanthien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0344051424"
"Công ty TNHH Bùi Ngôn Lễ Loan","số 701, đường Anh Phượng, phường Tân Quý, quận Tân Phú, thành phố Hồ Chí Minh","số 701, đường Anh Phượng, phường Tân Quý, quận Tân Phú","thành phố Hồ Chí Minh","VN-SG","700000","VN","0239777996582","0861537538","hotro@buingonleloan.vn","buingonleloan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0385461886"
"Công ty TNHH Võ Dương Luận Mỹ","số 876, đường Thái Hiểu, phường 2, quận Quận 8, thành phố Hồ Chí Minh","số 876, đường Thái Hiểu, phường 2, quận Quận 8","thành phố Hồ Chí Minh","VN-SG","700000","VN","027544510981","0910896697","hotro@voduongluanmy.vn","voduongluanmy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0351436176"
"Công ty TNHH Vũ Tôn","số 498, đường Huệ Tài, phường 1, quận Quận 11, thành phố Hồ Chí Minh","số 498, đường Huệ Tài, phường 1, quận Quận 11","thành phố Hồ Chí Minh","VN-SG","700000","VN","025145038750","0896942773","hotro@vuton.vn","vuton.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0315081792"
"Công ty TNHH Trần Ca Tôn","số 360, đường Nguyễn Thành Hải, thị trấn Văn Điển, huyện Thanh Trì, thành phố Hà Nội","số 360, đường Nguyễn Thành Hải, thị trấn Văn Điển, huyện Thanh Trì","thành phố Hà Nội","VN-HN","100000","VN","0247103770","0995486988","hotro@trancaton.vn","trancaton.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0168942434"
"Công ty TNHH Võ Duy","số 824, đường Nguyễn Khánh Phi, phường 2, quận Quận 5, thành phố Hồ Chí Minh","số 824, đường Nguyễn Khánh Phi, phường 2, quận Quận 5","thành phố Hồ Chí Minh","VN-SG","700000","VN","0218777926888","0929400522","hotro@voduy.vn","voduy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0388892189"
"Công ty TNHH Nguyễn Phương Phương","số 664, xóm 2, thôn 1, xã Đại Mạch, huyện Đông Anh, thành phố Hà Nội","số 664, xóm 2, thôn 1, xã Đại Mạch, huyện Đông Anh","thành phố Hà Nội","VN-HN","100000","VN","02454423897","0963401599","hotro@nguyenphuongphuong.vn","nguyenphuongphuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0136560774"
"Công ty TNHH Nguyễn Quyền Huyền Thạch","số 220, hẻm 19, đường Thiều Danh Khôi, phường Thượng Lý, quận Hồng Bàng, thành phố Hải Phòng","số 220, hẻm 19, đường Thiều Danh Khôi, phường Thượng Lý, quận Hồng Bàng","thành phố Hải Phòng","VN-HP","180000","VN","02257142724","0951600936","hotro@nguyenquyenhuyenthach.vn","nguyenquyenhuyenthach.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0268282182"
"Công ty TNHH Hoàng Trâm Quang Tôn","số 760, đường Nguyễn Quyên Trúc, phường Hòa Quý, quận Ngũ Hành Sơn, thành phố Đà Nẵng","số 760, đường Nguyễn Quyên Trúc, phường Hòa Quý, quận Ngũ Hành Sơn","thành phố Đà Nẵng","VN-DN","550000","VN","02363553140","0879941959","hotro@hoangtramquangton.vn","hoangtramquangton.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0423232744"
"Công ty TNHH Hồ Dũng Cương Tùng","số 870, đường Khiếu Giang Thường, phường Phú Thọ Hòa, quận Tân Phú, thành phố Hồ Chí Minh","số 870, đường Khiếu Giang Thường, phường Phú Thọ Hòa, quận Tân Phú","thành phố Hồ Chí Minh","VN-SG","700000","VN","02217384525","0887484450","hotro@hodungcuongtung.vn","hodungcuongtung.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0360032792"
"Công ty TNHH Mộc Nhân Trình Dương","số 975, đường Nguyễn Thơ Thiện, phường Phú Lãm, quận Hà Đông, thành phố Hà Nội","số 975, đường Nguyễn Thơ Thiện, phường Phú Lãm, quận Hà Đông","thành phố Hà Nội","VN-HN","100000","VN","0243643814","0996332488","hotro@mocnhantrinhduong.vn","mocnhantrinhduong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0126922364"
"Công ty TNHH Tấn Ðoan Nguyên","số 394, đường Miên Thịnh, phường 10, quận Gò Vấp, thành phố Hồ Chí Minh","số 394, đường Miên Thịnh, phường 10, quận Gò Vấp","thành phố Hồ Chí Minh","VN-SG","700000","VN","02127190645","0903779938","hotro@tanðoannguyen.vn","tanðoannguyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0376946966"
"Công ty TNHH Vũ Trúc Phượng Mỹ","số 680, hẻm 62, đường Đặng Đức Viễn, phường Bình Thọ, quận Thủ Đức, thành phố Hồ Chí Minh","số 680, hẻm 62, đường Đặng Đức Viễn, phường Bình Thọ, quận Thủ Đức","thành phố Hồ Chí Minh","VN-SG","700000","VN","0218777987038","0884878634","hotro@vutrucphuongmy.vn","vutrucphuongmy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0320357423"
"Công ty TNHH Nguyễn Hòa Trâm","số 513, xóm 3, thôn Chi Tuệ, xã An Đồng, huyện An Dương, thành phố Hải Phòng","số 513, xóm 3, thôn Chi Tuệ, xã An Đồng, huyện An Dương","thành phố Hải Phòng","VN-HP","180000","VN","022554138941","0888957911","hotro@nguyenhoatram.vn","nguyenhoatram.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0255907987"
"Công ty TNHH Nguyễn Bằng Huy","số 147, hẻm 28, đường Nguyễn Nương Thành, phường 24, quận Bình Thạnh, thành phố Hồ Chí Minh","số 147, hẻm 28, đường Nguyễn Nương Thành, phường 24, quận Bình Thạnh","thành phố Hồ Chí Minh","VN-SG","700000","VN","0293777953484","0919887074","hotro@nguyenbanghuy.vn","nguyenbanghuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0353309826"
"Công ty TNHH Lê Sơn Hoài Thi","số 264, đường Nguyễn Cẩn Thu, phường Linh Tây, quận Thủ Đức, thành phố Hồ Chí Minh","số 264, đường Nguyễn Cẩn Thu, phường Linh Tây, quận Thủ Đức","thành phố Hồ Chí Minh","VN-SG","700000","VN","02117148343","0976453210","hotro@lesonhoaithi.vn","lesonhoaithi.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0315018628"
"Công ty TNHH Nguyễn Nhiên Hạnh","số 8, xóm 5, thôn 1, xã Thụy Hương, huyện Chương Mỹ, thành phố Hà Nội","số 8, xóm 5, thôn 1, xã Thụy Hương, huyện Chương Mỹ","thành phố Hà Nội","VN-HN","100000","VN","02444536615","0894258222","hotro@nguyennhienhanh.vn","nguyennhienhanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0139067584"
"Công ty TNHH Hoàng Hiền Linh","số 691, xóm Nương Tuấn, thôn Hạnh Thục, xã Phú Châu, huyện Ba Vì, thành phố Hà Nội","số 691, xóm Nương Tuấn, thôn Hạnh Thục, xã Phú Châu, huyện Ba Vì","thành phố Hà Nội","VN-HN","100000","VN","0247327434","0916856133","hotro@hoanghienlinh.vn","hoanghienlinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0151072150"
"Công ty TNHH Hoàng Thúy","số 184, xóm Lân Loan, thôn Thụy Ðại, xã Nam Hưng, huyện Tiên Lãng, thành phố Hải Phòng","số 184, xóm Lân Loan, thôn Thụy Ðại, xã Nam Hưng, huyện Tiên Lãng","thành phố Hải Phòng","VN-HP","180000","VN","022562923494","0990475555","hotro@hoangthuy.vn","hoangthuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0287657226"
